,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
169,10377,CT1044,IOGURTE NATURAL DESNATADO FAZENDA 170G,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Iogurtes
170,10380,CT1047,IOGURTE LÍQUIDO MORANGO FAZENDA 180G,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Iogurtes
171,10381,CT1048,IOGURTE LÍQUIDO COCO FAZENDA 180G,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Iogurtes
172,10383,CT1065,SUCO INTEGRAL FAZENDA DE LARANJA 900ML,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Sucos e Chás Refrigerados
173,10451,CT1415,PRESUNTO   FATIADO SEARA 180G,SEARA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
174,10461,CT1425,LASANHA BOLONHESA SEARA 600G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
175,10500,CT2160,SUCO  GREENPEOPLE DE UVA 250ML,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
176,10528,CTA2164,IOGURTE NATURAL INTEGRAL ATI LATTE 170G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
177,10529,CT773,LEITE PASTEURIZADO FAZENDA TIPO A SEMIDESNATADO 1L,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Leites Refrigerados
178,10575,CRN39,"CARNE   FLAT IRON 481 0,420KG",PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
