id_modelo,cod_produto,nome,preco_loja_programada,preco_loja_fresh,
24566,CT193554,MINI RISOLES DE PRESUNTO E QUEIJO CONGELADOS SALGADOS DA BISA 400G,"12,99","12,99",Laura Morais
24567,CT193555,MINI CHURROS DE DOCE DE LEITE CONGELADOS SALGADOS DA BISA 800G,"23,99","23,99",Laura Morais
24568,CT193556,RAÇÃO SECA PARA CÃES ADULTOS RAÇAS GRANDES E GIGANTES PREMIER FRANGO 20KG,"324,39",,Gabriela Pereira
24637,CT193622,APARELHO DE BARBEAR GILLETTE PRESTOBARBA 3 COMFORTGEL - 4 UNID,"34,9",,Jefferson Moraes
24645,CT193630,"RAÇÃO SECA PARA GATOS FILHOTES PRIME N&D FRANGO E ROMÃ 1,5KG","141,9",,Gabriela Pereira
24646,CT193631,RAÇÃO SECA PARA CÃES ADULTOS COM SENSIBILIDADES ALIMENTARES VETERINARY DIET HYPOALLERGENIC ROYAL CANIN  10KG,"494,9",,Gabriela Pereira
24660,CT193645,CERVEJA  AMSTEL LATA 269ML,"2,99",,Camila Fim
24661,CT193646,CERVEJA BADEN BADEN WITBIER LATA 350ML,"6,19",,Camila Fim
24662,CT193647,CERVEJA BADEN BADEN PILSEN CRISTAL LATA 350ML,"5,89",,Camila Fim
24663,CT193648,CERVEJA BADEN BADEN AMERICAN IPA PURO MALTE LATA 350ML,"5,99",,Camila Fim
24664,CT193649,CERVEJA HEINEKEN MINI GARRAFA 250ML,"4,99",,Camila Fim
24666,CT193651,CERVEJA   LAGUNITAS IPA LONG NECK 355ML,"10,89",,Camila Fim
24667,CT193652,ÁGUA TÔNICA ZERO FYS COM TOQUE DE LIMÃO SICILIANO LATA 350ML,"3,09",,Camila Fim
24668,CT193653,ÁGUA TÔNICA FYS COM TOQUE DE LIMÃO SICILIANO LATA 350ML,"2,89",,Camila Fim
24669,CT193654,REFRIGERANTE ITUBAÍNA RETRÔ TUTTI-FRUTTI GARRAFA 355ML,"3,59",,Camila Fim
24670,CT193655,CERVEJA   LAGUNITAS IPA LATA 350ML,"8,99",,Camila Fim
24672,CT193657,VODKA CIROC 750ML,"179,9",,Vinicius Teixeira
24675,CT193660,GIN TANQUERAY SEVILLA 700ML,"138,9",,Vinicius Teixeira
24679,CT193664,GIN TANQUERAY TEN 750ML,"219,9",,Vinicius Teixeira
24695,CT193679,REFRIGERANTE PEPSI BLACK ZERO 200ML,"1,69",,Camila Fim
24696,CT193680,REFRIGERANTE PEPSI BLACK SEM AÇÚCAR LATA 350ML,"3,09",,Camila Fim
24697,CT193681,LEITE SEMIDESNATADO A2 PIRACANJUBA 1L,"8,29",,Leny Neta
24743,CT193728,ESPUMANTE ITALIANO TOSTI NOTTE DI BOLLICINE GRAN CUVÉE BRUT 750ML,"79,9",,Vinicius Teixeira
24799,CT193777,ESPUMANTE  FRANCÊS VEUVE VERNAY DEMI SEC 750ML,"94,9",,Vinicius Teixeira
24811,CT193789,VINHO BRANCO ARGENTINO NORTON RESERVA CHARDONNAY 750ML,"84,9",,Vinicius Teixeira
24816,CT193794,VINHO TINTO CHILENO CAROLINA RESERVA CARMENÈRE 750ML,"79,9",,Vinicius Teixeira
25001,CT193979,VINHO BRANCO CHILENO TARAPACÁ RESERVA CHARDONNAY 750ML,"69,9",,Vinicius Teixeira
25002,CT193980,VINHO TINTO CHILENO TARAPACÁ GRAN RESERVA CABERNET SAUVIGNON 750ML,"109,9",,Vinicius Teixeira
25008,CT193986,VINHO TINTO ESPANHOL MUGA RESERVA SELECCION ESPECIAL 750ML,"362,9",,Vinicius Teixeira
25019,CT193997,VINHO DO PORTO RAMOS PINTO TAWNY 750ML,"147,9",,Vinicius Teixeira
25022,CT194000,VINHO BRANCO PORTUGUÊS BACALHOA CHARDONNAY 750ML,"159,9",,Vinicius Teixeira
25023,CT194001,VINHO BRANCO PORTUGUÊS BACALHOA CATARINA 750ML,"116,9",,Vinicius Teixeira
25024,CT194002,VINHO TINTO PORTUGUÊS PALACIO DA BACALHOA 750ML,"489,9",,Vinicius Teixeira
25089,CT194069,MEL  COM EXTRATO DE PROPOLIS SUPERBOM PET 200G,"31,9",,Vitória Maia
